dataset_id,source_file,entry_id,method,resolution_angstrom,em_resolution_angstrom,wilson_b_estimate,b_factor_type,rfree,rfactor,deposited_atoms
rcsb::4U3J,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4U3J,X-RAY DIFFRACTION,2.81,,43.843,FULL,0.2572,0.218,8524
rcsb::6GF3,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6GF3,X-RAY DIFFRACTION,2.4,,63.877,FULL,0.2534,0.2013,17309
rcsb::6TIU,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6TIU,X-RAY DIFFRACTION,3.571,,110.866,FULL,0.2681,0.2388,14668
rcsb::6TIZ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6TIZ,X-RAY DIFFRACTION,2.197,,36.244,FULL,0.2186,0.1827,15487
rcsb::7AU5,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7AU5,X-RAY DIFFRACTION,2.2,,51.823,FULL,0.2145,0.1804,18583
rcsb::7CNM,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7CNM,X-RAY DIFFRACTION,2.44,,35.622,FULL,0.2127,0.2056,17919
rcsb::7CNN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7CNN,X-RAY DIFFRACTION,2.5,,38.11,,0.2093,,18183
rcsb::7DAD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DAD,X-RAY DIFFRACTION,2.85,,51.132,FULL,0.227,0.1799,17890
rcsb::7DAE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DAE,X-RAY DIFFRACTION,2.394,,36.475,FULL,0.2239,0.1766,18508
rcsb::7DB9,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DB9,X-RAY DIFFRACTION,2.845,,49.553,,0.2128,,17750
rcsb::7DAF,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DAF,X-RAY DIFFRACTION,2.4,,36.103,FULL,0.2214,0.1746,18541
rcsb::7DBC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DBC,X-RAY DIFFRACTION,2.4,,47.149,FULL,0.2335,0.1982,17950
rcsb::8A9Z,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8A9Z,X-RAY DIFFRACTION,2.294,,52.764,FULL,0.2361,0.1956,17786
rcsb::9FYD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9FYD,X-RAY DIFFRACTION,2.3,,55.147,FULL,0.2363,0.201,17954
rcsb::9IM5,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9IM5,X-RAY DIFFRACTION,2.86,,59.915,FULL,0.2481,0.2116,17217
rcsb::6F7C,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6F7C,X-RAY DIFFRACTION,2.002,,45.146,FULL,0.2468,0.2162,17679
rcsb::7DBD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DBD,X-RAY DIFFRACTION,3.094,,65.64,FULL,0.2437,0.1908,17563
rcsb::7DBB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DBB,X-RAY DIFFRACTION,2.805,,52.282,FULL,0.2286,0.1733,17733
rcsb::8A9T,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8A9T,X-RAY DIFFRACTION,2.304,,53.929,FULL,0.2358,0.1946,17683
rcsb::7DBA,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7DBA,X-RAY DIFFRACTION,2.461,,43.724,FULL,0.2293,0.1895,18135
rcsb::9EDS,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9EDS,ELECTRON MICROSCOPY,3.8,3.8,,,,,20957
rcsb::2WBE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,2WBE,ELECTRON MICROSCOPY,9.4,9.4,,,,,9385
rcsb::1SA0,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1SA0,X-RAY DIFFRACTION,3.58,,,,0.24852,0.23252,14074
rcsb::4PK2,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4PK2,X-RAY DIFFRACTION,1.35,,11.711,FULL,0.1694,0.1332,1961
rcsb::1SA1,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1SA1,X-RAY DIFFRACTION,4.2,,,,0.25935,0.20643,14180
rcsb::3RYC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3RYC,X-RAY DIFFRACTION,2.1,,34.964,FULL,0.2137,0.1827,15686
rcsb::1TUB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1TUB,ELECTRON CRYSTALLOGRAPHY,3.7,,143.975,FULL,,,6907
rcsb::6XER,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6XER,X-RAY DIFFRACTION,2.5,,57.98,FULL,0.2248,0.1709,14606
rcsb::3HKB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3HKB,X-RAY DIFFRACTION,3.65,,150.164,PARTIAL,0.2819,0.2462,14125
rcsb::4NFM,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4NFM,X-RAY DIFFRACTION,2.12,,45.962,FULL,0.2467,0.2067,2377
rcsb::7CNO,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7CNO,X-RAY DIFFRACTION,2.5,,38.239,FULL,0.2385,0.1885,18166
rcsb::4O4L,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4O4L,X-RAY DIFFRACTION,2.2,,53.688,FULL,0.2283,0.1937,18663
rcsb::4PK3,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4PK3,X-RAY DIFFRACTION,1.347,,13.51,FULL,0.1762,0.1507,1943
rcsb::5LXS,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5LXS,X-RAY DIFFRACTION,2.2,,36.732,FULL,0.2278,0.1891,18850
rcsb::5ZXH,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5ZXH,X-RAY DIFFRACTION,2.8,,42.76,FULL,0.2543,0.2102,17367
rcsb::6LSN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6LSN,X-RAY DIFFRACTION,2.445,,45.225,FULL,0.2219,0.1783,18041
rcsb::7TRG,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7TRG,ELECTRON MICROSCOPY,3.0,3.0,,,,,33714
rcsb::7TTN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7TTN,ELECTRON MICROSCOPY,3.3,3.3,,,,,34563
rcsb::7TTT,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7TTT,ELECTRON MICROSCOPY,2.9,2.9,,,,,35180
rcsb::7TUB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7TUB,ELECTRON MICROSCOPY,3.6,3.6,,,,,35877
rcsb::7VMG,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7VMG,X-RAY DIFFRACTION,2.39,,52.197,FULL,0.2498,0.2124,17851
rcsb::7VMJ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7VMJ,X-RAY DIFFRACTION,2.9,,64.027,,0.2476,,17608
rcsb::1QSD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1QSD,X-RAY DIFFRACTION,2.2,,,,0.297,0.211,1837
rcsb::9PMK,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9PMK,ELECTRON MICROSCOPY,2.84,2.84,,,,,10060
rcsb::7VMK,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7VMK,X-RAY DIFFRACTION,2.5,,37.516,FULL,0.2309,0.1938,17937
rcsb::3E22,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3E22,X-RAY DIFFRACTION,3.8,,140.064,PARTIAL,0.2939,0.2398,14154
rcsb::1Z2B,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1Z2B,X-RAY DIFFRACTION,4.1,,197.483,PARTIAL,0.2771,0.2117,14173
rcsb::3HKC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3HKC,X-RAY DIFFRACTION,3.8,,172.426,FULL,0.3016,0.2643,14145
rcsb::3HKD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3HKD,X-RAY DIFFRACTION,3.7,,152.497,,0.3095,,14223
rcsb::3HKE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3HKE,X-RAY DIFFRACTION,3.6,,133.621,PARTIAL,0.2607,0.2255,14244
rcsb::3R4V,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3R4V,X-RAY DIFFRACTION,1.67,,25.408,FULL,0.2251,0.1781,2831
rcsb::3RYF,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3RYF,X-RAY DIFFRACTION,2.52,,50.359,FULL,0.2227,0.1789,15301
rcsb::3RYH,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3RYH,X-RAY DIFFRACTION,2.8,,60.664,,0.2182,,15107
rcsb::3RYI,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3RYI,X-RAY DIFFRACTION,2.4,,47.585,FULL,0.2105,0.1767,15541
rcsb::3UT5,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3UT5,X-RAY DIFFRACTION,2.73,,66.603,FULL,0.2414,0.2008,15107
rcsb::4DRX,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4DRX,X-RAY DIFFRACTION,2.22,,35.936,FULL,0.1965,0.1607,16036
rcsb::4I55,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4I55,X-RAY DIFFRACTION,2.2,,45.652,FULL,0.2056,0.1663,18606
rcsb::6XES,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6XES,X-RAY DIFFRACTION,2.32,,41.647,,0.2126,,14870
rcsb::5AJ8,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5AJ8,X-RAY DIFFRACTION,2.2,,17.99,FULL,0.2072,0.1693,2997
rcsb::5MIO,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5MIO,X-RAY DIFFRACTION,3.19,,77.472,FULL,0.2657,0.2241,10421
rcsb::5W3F,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5W3F,ELECTRON MICROSCOPY,3.7,3.7,,,,,6842
rcsb::6XET,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6XET,X-RAY DIFFRACTION,2.6,,42.973,,0.2109,,14792
rcsb::7LXB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7LXB,ELECTRON MICROSCOPY,3.26,3.26,,,,,54280
rcsb::7M18,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7M18,ELECTRON MICROSCOPY,3.38,3.38,,,,,54064
rcsb::7TTD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7TTD,X-RAY DIFFRACTION,2.27,,38.405,FULL,0.2268,0.1758,14686
rcsb::7TTE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7TTE,X-RAY DIFFRACTION,2.7,,74.946,,0.2189,,14586
rcsb::6JCJ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6JCJ,X-RAY DIFFRACTION,2.5,,33.663,FULL,0.2807,0.2422,17423
rcsb::7TTF,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7TTF,X-RAY DIFFRACTION,2.1,,37.465,FULL,0.235,0.1927,14849
rcsb::7U0F,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7U0F,ELECTRON MICROSCOPY,3.53,3.53,,,,,16569
rcsb::8CLB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CLB,X-RAY DIFFRACTION,3.0,,67.266,FULL,0.2161,0.1724,17543
rcsb::8DIQ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8DIQ,X-RAY DIFFRACTION,2.395,,44.588,FULL,0.2099,0.1826,17666
rcsb::8CLE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CLE,X-RAY DIFFRACTION,3.2,,69.454,FULL,0.2491,0.2054,17579
rcsb::8YRK,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8YRK,X-RAY DIFFRACTION,2.74,,59.786,FULL,0.2251,0.173,17720
rcsb::9EOJ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9EOJ,ELECTRON MICROSCOPY,17.0,17.0,,,,,117778
rcsb::9IMO,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9IMO,X-RAY DIFFRACTION,2.75,,79.093,FULL,0.2528,0.2111,17053
rcsb::9U9Q,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9U9Q,X-RAY DIFFRACTION,2.93,,51.924,FULL,0.257,0.2064,17577
rcsb::9C13,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9C13,ELECTRON MICROSCOPY,2.89,2.89,,,,,15708
rcsb::1Z5W,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1Z5W,X-RAY DIFFRACTION,3.0,,38.44,FULL,0.3,0.2424,3110
rcsb::3J1T,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3J1T,ELECTRON MICROSCOPY,9.7,9.7,,,,,8091
rcsb::3J1U,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3J1U,ELECTRON MICROSCOPY,9.7,9.7,,,,,8089
rcsb::3RB8,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3RB8,X-RAY DIFFRACTION,2.6,,50.796,FULL,0.2371,0.1654,2462
rcsb::3DU7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3DU7,X-RAY DIFFRACTION,4.1,,181.902,PARTIAL,0.2713,0.2165,14258
rcsb::3N2G,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3N2G,X-RAY DIFFRACTION,4.0,,168.487,PARTIAL,0.2516,0.2375,14220
rcsb::4GS4,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4GS4,X-RAY DIFFRACTION,2.112,,33.684,FULL,0.2534,0.23,1535
rcsb::3N2K,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3N2K,X-RAY DIFFRACTION,4.0,,162.726,FULL,0.2664,0.2533,14225
rcsb::4B6W,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4B6W,X-RAY DIFFRACTION,2.35,,36.566,FULL,0.2178,0.1712,788
rcsb::4I4T,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4I4T,X-RAY DIFFRACTION,1.8,,33.116,FULL,0.2,0.1684,19745
rcsb::4IHJ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4IHJ,X-RAY DIFFRACTION,2.0,,36.197,FULL,0.2155,0.1672,18737
rcsb::4IIJ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4IIJ,X-RAY DIFFRACTION,2.6,,61.489,FULL,0.2418,0.201,16921
rcsb::4YJ3,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4YJ3,X-RAY DIFFRACTION,3.75,,80.647,FULL,0.2804,0.2442,17035
rcsb::4YJ2,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4YJ2,X-RAY DIFFRACTION,2.6,,62.875,FULL,0.2359,0.1963,17335
rcsb::4ZI7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4ZI7,X-RAY DIFFRACTION,2.51,,48.854,FULL,0.2423,0.1907,17939
rcsb::4ZHQ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4ZHQ,X-RAY DIFFRACTION,2.55,,37.122,FULL,0.2464,0.1916,17988
rcsb::5BMV,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5BMV,X-RAY DIFFRACTION,2.5,,48.029,FULL,0.2363,0.1923,17912
rcsb::5LP6,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5LP6,X-RAY DIFFRACTION,2.9,,83.238,,0.2717,,17547
rcsb::6AGK,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6AGK,X-RAY DIFFRACTION,2.8,,45.039,FULL,0.2608,0.2134,17398
rcsb::6EG5,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6EG5,X-RAY DIFFRACTION,2.45,,35.475,FULL,0.2379,0.1996,18509
rcsb::6D88,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6D88,X-RAY DIFFRACTION,2.853,,50.959,FULL,0.2447,0.192,17530
rcsb::6N47,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6N47,X-RAY DIFFRACTION,2.6,,39.841,FULL,0.2449,0.2052,17917
rcsb::6NNG,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6NNG,X-RAY DIFFRACTION,2.397,,35.574,,0.214,,17861
rcsb::6O5M,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6O5M,X-RAY DIFFRACTION,2.3,,29.836,FULL,0.2236,0.1911,17881
rcsb::6O5N,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6O5N,X-RAY DIFFRACTION,3.003,,57.326,FULL,0.2444,0.2021,17476
rcsb::6TF9,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6TF9,ELECTRON MICROSCOPY,4.8,4.8,,,,,120053
rcsb::6X1C,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6X1C,X-RAY DIFFRACTION,2.9,,45.363,FULL,0.2094,0.1723,17509
rcsb::6X1E,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6X1E,X-RAY DIFFRACTION,2.9,,46.995,FULL,0.2235,0.1702,17543
rcsb::6X1F,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6X1F,X-RAY DIFFRACTION,2.7,,36.907,FULL,0.2315,0.185,17676
rcsb::7E4Z,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7E4Z,X-RAY DIFFRACTION,2.69,,45.04,FULL,0.2317,0.1956,18166
rcsb::7LZ7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7LZ7,X-RAY DIFFRACTION,2.8,,41.969,,0.196,,17560
rcsb::7LZ8,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7LZ8,X-RAY DIFFRACTION,2.92,,71.264,FULL,0.2252,0.1867,16797
rcsb::7SJ7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7SJ7,ELECTRON MICROSCOPY,3.8,3.8,,,,,41056
rcsb::7SJA,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7SJA,ELECTRON MICROSCOPY,3.8,3.8,,,,,40920
rcsb::7X3J,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7X3J,ELECTRON MICROSCOPY,4.2,4.2,,,,,63188
rcsb::7YSN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7YSN,ELECTRON MICROSCOPY,3.5,3.5,,,,,6844
rcsb::7YHN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7YHN,X-RAY DIFFRACTION,2.6,,67.365,FULL,0.27,0.2272,13868
rcsb::8CLD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CLD,X-RAY DIFFRACTION,3.2,,62.486,FULL,0.2419,0.2074,17497
rcsb::8CLF,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CLF,X-RAY DIFFRACTION,2.7,,-9.946,,0.2281,,17633
rcsb::8QAU,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8QAU,ELECTRON MICROSCOPY,3.54,3.54,,,,,10137
rcsb::8YEM,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8YEM,X-RAY DIFFRACTION,2.74,,57.46,,0.2868,,17399
rcsb::8YEU,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8YEU,X-RAY DIFFRACTION,3.05,,64.471,FULL,0.2679,0.2151,17430
rcsb::8YER,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8YER,X-RAY DIFFRACTION,2.71,,55.733,FULL,0.2838,0.2217,17432
rcsb::8YTX,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8YTX,X-RAY DIFFRACTION,2.53,,52.802,FULL,0.2662,0.2218,16820
rcsb::8YU9,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8YU9,X-RAY DIFFRACTION,3.25,,84.353,FULL,0.2863,0.2053,17059
rcsb::8YUA,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8YUA,X-RAY DIFFRACTION,2.37,,47.63,,0.2684,,17156
rcsb::9U6A,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9U6A,X-RAY DIFFRACTION,1.92,,25.256,FULL,0.2231,0.1835,8438
rcsb::9PM9,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9PM9,ELECTRON MICROSCOPY,2.75,2.75,,,,,2515
rcsb::9F3B,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9F3B,ELECTRON MICROSCOPY,3.6,3.6,,,,,41106
rcsb::9H9R,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9H9R,ELECTRON MICROSCOPY,8.2,8.2,,,,,128163
rcsb::3CB2,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3CB2,X-RAY DIFFRACTION,2.303,,24.205,FULL,0.2391,0.1863,7012
rcsb::3J7I,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3J7I,ELECTRON MICROSCOPY,8.9,8.9,,,,,6515
rcsb::1Z5V,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1Z5V,X-RAY DIFFRACTION,2.71,,42.899,FULL,0.2947,0.2374,3195
rcsb::4B5O,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4B5O,X-RAY DIFFRACTION,1.05,,10.294,FULL,0.1586,0.1321,2331
rcsb::4B6M,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4B6M,X-RAY DIFFRACTION,1.59,,12.819,FULL,0.239,0.2005,1548
rcsb::4I50,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4I50,X-RAY DIFFRACTION,2.3,,50.304,FULL,0.25,0.1965,17656
rcsb::6I2I,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6I2I,ELECTRON MICROSCOPY,3.6,3.6,,,,,6830
rcsb::4ZOL,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4ZOL,X-RAY DIFFRACTION,2.5,,41.78,FULL,0.2309,0.1759,18159
rcsb::5W3J,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5W3J,ELECTRON MICROSCOPY,4.0,4.0,,,,,6913
rcsb::5KX5,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5KX5,X-RAY DIFFRACTION,2.5,,54.766,FULL,0.2696,0.2144,17802
rcsb::5XAF,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5XAF,X-RAY DIFFRACTION,2.551,,65.543,FULL,0.2575,0.2098,18303
rcsb::5Z4P,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5Z4P,X-RAY DIFFRACTION,2.5,,61.26,FULL,0.2866,0.2228,17477
rcsb::5XAG,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5XAG,X-RAY DIFFRACTION,2.56,,65.74,FULL,0.256,0.212,17705
rcsb::6K9V,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6K9V,X-RAY DIFFRACTION,2.543,,39.835,FULL,0.2557,0.2256,17921
rcsb::6O61,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6O61,X-RAY DIFFRACTION,2.599,,41.826,FULL,0.2477,0.2071,17165
rcsb::6V6S,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6V6S,ELECTRON MICROSCOPY,4.3,4.3,,,,,106422
rcsb::6WVR,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6WVR,ELECTRON MICROSCOPY,2.9,2.9,,,,,13698
rcsb::6PC4,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6PC4,X-RAY DIFFRACTION,2.602,,43.238,,0.2335,0.1919,17742
rcsb::6Y4M,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6Y4M,X-RAY DIFFRACTION,3.34,,68.636,FULL,0.2318,0.2078,17766
rcsb::6ZWB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6ZWB,X-RAY DIFFRACTION,1.747,,23.161,FULL,0.2339,0.186,8683
rcsb::6ZWC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6ZWC,X-RAY DIFFRACTION,2.04,,26.685,FULL,0.2794,0.2258,8235
rcsb::6Y4N,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6Y4N,X-RAY DIFFRACTION,2.852,,57.802,FULL,0.2228,0.1831,18400
rcsb::7ANZ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7ANZ,ELECTRON MICROSCOPY,3.6,3.6,,,,,16751
rcsb::7E4P,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7E4P,X-RAY DIFFRACTION,2.4,,35.864,FULL,0.2316,0.2182,18225
rcsb::7YSO,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7YSO,ELECTRON MICROSCOPY,3.6,3.6,,,,,6810
rcsb::7WZ3,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7WZ3,ELECTRON MICROSCOPY,4.1,4.1,,,,,58551
rcsb::7YSP,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7YSP,ELECTRON MICROSCOPY,3.9,3.9,,,,,6810
rcsb::7Z01,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7Z01,X-RAY DIFFRACTION,1.82,,24.355,FULL,0.2536,0.2053,8268
rcsb::7Z02,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7Z02,X-RAY DIFFRACTION,2.36,,41.251,FULL,0.2583,0.2066,8029
rcsb::8CLA,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CLA,X-RAY DIFFRACTION,2.0,,23.487,FULL,0.2044,0.1739,8413
rcsb::9C6R,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9C6R,ELECTRON MICROSCOPY,3.2,3.2,,,,,55352
rcsb::7YZ3,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7YZ3,X-RAY DIFFRACTION,1.8,,37.958,FULL,0.2156,0.1844,8358
